wind_speed_max,wind_speed_mean,wind_direction_mean,air_temp,barometric_pressure,depth,water_temperature,specific_conductivity,pH,turbidity,organic_dissolved_oxygen_saturation,organic_dissolved_oxygen,chlorophylla,phycocyanin,flourescent_dissolved_organic_matter,log_phyco,sqrt_phyco,sqrt_turb,sqrt_DOsat,sqrt_DO,sqrt_chlorophyll
6.4,5.379,126.6,20.58,1013.751,1.09,22.84,348.7,8.49,0.992,105.2,9.05,0.444,0.005,3.048,0.004987542,0.070710678,0.995991968,10.25670512,3.008321791,0.66633325
6.25,5.142,120.4,20.71,1013.794,1.088,22.85,348.7,8.49,0.994,105.5,9.07,0.468,0.016,3.038,0.015873349,0.126491106,0.996995486,10.27131929,3.011644069,0.684105255
6.45,5.513,116.6,20.51,1013.298,1.081,22.85,348.7,8.49,1.014,105.8,9.1,0.513,0.007,3.053,0.006975614,0.083666003,1.00697567,10.2859127,3.016620626,0.716240183
6.6,5.524,111.3,20.55,1012.888,1.08,22.86,348.6,8.5,0.97,106.2,9.13,0.501,0,3.038,0,0,0.98488578,10.30533842,3.021588986,0.707813535
7.7,6.306,87.5,20.35,1011.421,1.07,22.83,348.5,8.51,1.08,107,9.21,0.517,0.017,3.098,0.016857117,0.130384048,1.039230485,10.34408043,3.034798181,0.71902712
8.5,6.719,89.5,20.08,1011.308,1.07,22.84,348.5,8.51,1.072,107.3,9.23,0.526,0.028,3.093,0.027615167,0.167332005,1.035374328,10.35857133,3.038091506,0.725258575
8.7,6.925,91.2,19.83,1011.149,1.067,22.81,348.3,8.52,1.062,107.4,9.24,0.571,0.028,3.106,0.027615167,0.167332005,1.030533842,10.36339713,3.039736831,0.755645419
8.95,6.988,103.5,19.63,1010.983,1.063,22.79,348.2,8.51,1.069,107.3,9.23,0.581,0.006,3.114,0.005982072,0.077459667,1.033924562,10.35857133,3.038091506,0.76223356
7.65,6.131,114.3,17.86,1009.146,1.048,22.64,347.5,8.5,1.173,106.2,9.16,0.635,0.02,3.157,0.019802627,0.141421356,1.083051245,10.30533842,3.02654919,0.796868873
10.1,7.548,115.2,18.21,1007.401,1.027,22.56,347.3,8.5,1.237,105.2,9.09,0.704,0.012,3.194,0.011928571,0.109544512,1.112205017,10.25670512,3.014962686,0.839047079
9.05,7.227,120.4,18.4,1007.39,1.02,22.54,347.3,8.5,1.279,105,9.08,0.672,0.014,3.215,0.013902905,0.118321596,1.130928822,10.24695077,3.013303835,0.819756061
9.85,8.05,122.8,18.56,1007.188,1.017,22.53,347.2,8.5,1.269,104.9,9.07,0.683,0.016,3.198,0.015873349,0.126491106,1.126499001,10.2420701,3.011644069,0.82643814
11,8.68,124,18.35,1006.812,1.01,22.52,347.2,8.49,1.305,104.7,9.05,0.701,0.013,3.211,0.012916225,0.114017543,1.142365966,10.23230179,3.008321791,0.837257428
12.05,8.79,125.7,18.27,1006.613,1.007,22.5,347.3,8.49,1.494,104.2,9.02,0.682,0.028,3.228,0.027615167,0.167332005,1.222292927,10.20784012,3.003331484,0.825832913
11,9.14,123.8,18.28,1006.273,1,22.48,347.2,8.48,1.856,103.8,8.98,0.718,0.031,3.231,0.030529205,0.176068169,1.362350909,10.1882285,2.996664813,0.847348807
8.3,6.267,261.7,17.04,1005.059,1.007,22.35,347.2,8.47,4.14,102,8.85,0.661,0.011,3.227,0.01093994,0.104880885,2.034698995,10.09950494,2.974894956,0.813019065
8.65,6.578,250.3,16.73,1003.522,1,22.29,347.1,8.46,3.187,100.8,8.75,0.583,0.019,3.252,0.018821754,0.137840488,1.785217074,10.03992032,2.958039892,0.763544367
10.5,8.14,248.4,16.8,1003.635,1,22.25,346.9,8.46,2.897,101,8.78,0.592,0.011,3.275,0.01093994,0.104880885,1.702057578,10.04987562,2.963106478,0.769415362
9.3,6.744,245.6,16.88,1003.605,0.998,22.24,346.8,8.46,2.775,100.9,8.77,0.563,0,3.279,0,0,1.665833125,10.0448992,2.961418579,0.750333259
9.6,7.598,243.1,17.24,1003.149,0.99,22.21,346.8,8.45,2.345,100.2,8.72,0.508,0.001,3.291,0.0009995,0.031622777,1.531339283,10.009995,2.952964612,0.712741187
7.85,6.133,311.5,17.77,1013.553,1.092,21.61,352.2,8.4,2.075,101.8,8.96,0.555,0.015,2.88,0.014888612,0.122474487,1.440486029,10.0895986,2.993325909,0.744983221
5.75,4.777,318.1,17.36,1013.7,1.092,21.61,351.5,8.38,1.948,101.1,8.89,0.571,0.003,2.865,0.002995509,0.054772256,1.395707706,10.05484958,2.981610303,0.755645419
6.2,5.144,315.6,17.12,1013.723,1.099,21.62,350.4,8.38,1.938,100.8,8.87,0.55,0.007,2.821,0.006975614,0.083666003,1.392120684,10.03992032,2.978254522,0.741619849
6.95,5.355,311.9,16.9,1013.767,1.099,21.62,350.3,8.37,1.907,100.8,8.87,0.579,0.009,2.821,0.008959741,0.09486833,1.380941708,10.03992032,2.978254522,0.760920495
7.9,5.944,304.5,16.68,1014.01,1.1,21.66,351.4,8.38,2,101,8.88,0.659,0.025,2.878,0.024692613,0.158113883,1.414213562,10.04987562,2.979932885,0.81178815
7.15,5.879,300.8,16.34,1014.2,1.1,21.66,351.1,8.37,1.895,100.7,8.85,0.618,0.007,2.854,0.006975614,0.083666003,1.37658999,10.03493896,2.974894956,0.78612976
8.1,6.063,298.5,15.98,1014.289,1.1,21.63,350.8,8.37,1.851,100.3,8.82,0.6,0.003,2.847,0.002995509,0.054772256,1.360514609,10.01498877,2.969848481,0.774596669
8.3,6.651,297.8,15.57,1014.364,1.1,21.63,350.8,8.36,1.708,100,8.8,0.553,0.003,2.866,0.002995509,0.054772256,1.30690474,10,2.966479395,0.743639698
